"Installment Ticket Id","InstallmentTransactionId","InstallmentDate","InstallmentValueDate","InstallmentProducts","InstallmentPaymentPrice","InstallmentProductPrice","InstallmentPaymentExtRef","InstallmentProductExtRef","Installments"
"","3790916","01/11/2025","01/11/2025","Credit card","50","","70100","",""
"3502908","3790916","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791182","01/11/2025","01/11/2025","Credit card","180","","70100","","1"
"3503051","3791182","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503052","3791182","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"","3791218","01/11/2025","01/11/2025","Credit card","120","","70100","",""
"3503089","3791218","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"3503088","3791218","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791225","01/11/2025","01/11/2025","Credit card","180","","70100","",""
"3503099","3791225","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503098","3791225","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"","3791226","01/11/2025","01/11/2025","Credit card","402","","70100","",""
"3503101","3791226","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"3503100","3791226","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"3503102","3791226","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","134","","4242",""
"","3791227","01/11/2025","01/11/2025","Credit card","270","","70100","",""
"3503105","3791227","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503104","3791227","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503106","3791227","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"","3791229","01/11/2025","01/11/2025","Credit card","180","","70100","",""
"3503107","3791229","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503108","3791229","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"","3791231","01/11/2025","01/11/2025","Credit card","60","","70100","",""
"3503112","3791231","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","60","","4242",""
"","3791232","01/11/2025","01/11/2025","Credit card","180","","70100","","1"
"3503113","3791232","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"3503114","3791232","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
"","3791235","01/11/2025","01/11/2025","Credit card","50","","70100","","1"
"3503117","3791235","01/11/2025","","גמר גביע ווינר: הפועל תל אביב","","50","","4242",""
"","3791237","01/11/2025","01/11/2025","Credit card","180","","70100","",""
"3503124","3791237","01/11/2025","","מחזור 4: מכבי ראשון לציון 🚗","","90","","4241",""
