מס.סידורי,טרנזקציה,תאריך העסקה,שם המוצר,חובה,זכות,חשבון בחובה,חשבון בזכות,גיליון,קישור טרנזקציה
1,3790916,2025-11-01,Credit card,50.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3790916
2,3790916,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3790916
3,3791182,2025-11-01,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791182
4,3791182,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791182
5,3791182,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791182
6,3791218,2025-11-01,Credit card,120.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791218
7,3791218,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791218
8,3791218,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791218
9,3791225,2025-11-01,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791225
10,3791225,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791225
11,3791225,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791225
12,3791226,2025-11-01,Credit card,402.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791226
13,3791226,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791226
14,3791226,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791226
15,3791226,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791226
16,3791227,2025-11-01,Credit card,270.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791227
17,3791227,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791227
18,3791227,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791227
19,3791227,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791227
20,3791229,2025-11-01,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791229
21,3791229,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791229
22,3791229,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791229
23,3791231,2025-11-01,Credit card,60.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791231
24,3791231,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791231
25,3791232,2025-11-01,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791232
26,3791232,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791232
27,3791232,2025-11-01,מחזור 4: מכבי ראשון לציון 🚗,,90.0,,4241.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791232
